Date,Open,High,Low,Close,Tick Volume,Volume
2018.08.23 11:21,4139.795999999999,4140.304,4138.272,4138.78,428,1149
2018.08.23 11:22,4139.288,4143.86,4138.272,4142.844,1339,4166
2018.08.23 11:23,4143.352,4146.4,4141.8279999999995,4145.892,1752,5835
2018.08.23 11:24,4145.384,4153.512,4144.876,4149.956,5263,18160
2018.08.23 11:25,4149.448,4150.972,4147.416,4149.956,2037,6669
2018.08.23 11:26,4149.956,4150.972,4146.4,4148.432,1587,5543
2018.08.23 11:27,4148.432,4148.432,4144.3679999999995,4144.3679999999995,1250,3366
2018.08.23 11:28,4144.3679999999995,4145.892,4143.86,4144.3679999999995,829,2847
2018.08.23 11:29,4144.3679999999995,4144.3679999999995,4141.8279999999995,4141.8279999999995,1210,3789
2018.08.23 11:30,4141.8279999999995,4143.352,4140.304,4142.335999999999,1482,4878
2018.08.23 11:31,4142.844,4143.352,4140.304,4141.32,800,3036
2018.08.23 11:32,4140.812,4141.32,4138.78,4139.795999999999,1100,3444
2018.08.23 11:33,4139.795999999999,4142.335999999999,4139.288,4140.812,789,2663
2018.08.23 11:34,4140.812,4142.335999999999,4139.288,4141.8279999999995,450,1396
2018.08.23 11:35,4141.8279999999995,4144.3679999999995,4141.8279999999995,4143.352,1125,3617
2018.08.23 11:36,4143.352,4143.86,4141.8279999999995,4142.335999999999,441,1448
2018.08.23 11:37,4142.844,4143.352,4141.8279999999995,4142.335999999999,333,1208
2018.08.23 11:38,4142.335999999999,4144.876,4142.335999999999,4143.352,886,2973
2018.08.23 11:39,4143.352,4143.352,4141.32,4142.335999999999,827,3145
2018.08.23 11:40,4142.335999999999,4142.844,4141.32,4141.8279999999995,248,784
2018.08.23 11:41,4141.8279999999995,4143.352,4141.32,4142.844,270,897
2018.08.23 11:42,4142.844,4144.876,4142.335999999999,4144.3679999999995,613,1888
2018.08.23 11:43,4144.3679999999995,4145.384,4143.352,4144.3679999999995,628,2011
2018.08.23 11:44,4143.86,4146.907999999999,4143.86,4146.4,888,2908
2018.08.23 11:45,4146.4,4146.907999999999,4144.3679999999995,4146.907999999999,971,3892
2018.08.23 11:46,4146.907999999999,4149.956,4146.907999999999,4148.94,1660,5502
2018.08.23 11:47,4148.94,4149.956,4146.907999999999,4147.416,1339,5500
2018.08.23 11:48,4147.416,4147.924,4145.892,4146.4,822,2739
2018.08.23 11:49,4146.907999999999,4146.907999999999,4143.86,4144.876,1390,5340
2018.08.23 11:50,4144.876,4144.876,4141.32,4141.8279999999995,1383,4233
2018.08.23 11:51,4141.8279999999995,4141.8279999999995,4139.288,4139.288,1365,5166
2018.08.23 11:52,4139.288,4140.304,4138.272,4139.795999999999,1187,3712
2018.08.23 11:53,4139.288,4141.8279999999995,4139.288,4141.32,873,2747
2018.08.23 11:54,4140.812,4143.352,4139.288,4141.8279999999995,1476,5880
2018.08.23 11:55,4141.8279999999995,4142.844,4140.304,4141.8279999999995,674,2334
2018.08.23 11:56,4142.335999999999,4142.335999999999,4139.795999999999,4141.32,495,1569
2018.08.23 11:57,4141.32,4143.86,4140.812,4141.8279999999995,1030,3528
2018.08.23 11:58,4141.32,4141.32,4138.272,4138.272,1270,4321
2018.08.23 11:59,4138.272,4141.32,4138.272,4141.32,714,2203
2018.08.23 12:00,4141.32,4142.844,4139.288,4142.844,806,2400
2018.08.23 12:01,4142.844,4144.3679999999995,4140.812,4142.844,1158,3845
2018.08.23 12:02,4143.352,4143.86,4141.8279999999995,4143.352,519,1891
2018.08.23 12:03,4142.844,4146.4,4142.844,4144.876,1110,3438
2018.08.23 12:04,4144.876,4145.892,4143.86,4144.3679999999995,581,2293
2018.08.23 12:05,4144.3679999999995,4146.907999999999,4143.86,4145.384,769,2696
2018.08.23 12:06,4144.876,4146.4,4142.844,4142.844,629,1763
2018.08.23 12:07,4142.844,4142.844,4140.812,4142.335999999999,969,2933
2018.08.23 12:08,4141.8279999999995,4142.335999999999,4140.812,4141.8279999999995,301,938
2018.08.23 12:09,4141.32,4144.876,4140.812,4143.352,690,2159
2018.08.23 12:10,4143.352,4144.3679999999995,4141.8279999999995,4142.844,357,1369
2018.08.23 12:11,4143.352,4143.86,4142.335999999999,4143.86,262,794
2018.08.23 12:12,4143.86,4146.4,4143.86,4145.892,610,2072
2018.08.23 12:13,4145.892,4146.907999999999,4144.876,4144.876,881,3129
2018.08.23 12:14,4144.876,4145.892,4144.3679999999995,4144.876,315,1191
2018.08.23 12:15,4144.3679999999995,4145.384,4143.352,4143.352,370,1291
2018.08.23 12:16,4143.86,4144.3679999999995,4143.352,4143.86,164,633
2018.08.23 12:17,4143.86,4145.384,4143.352,4145.384,341,1410
2018.08.23 12:18,4145.384,4145.892,4143.86,4143.86,262,798
2018.08.23 12:19,4144.3679999999995,4148.432,4143.86,4148.432,1233,4656
2018.08.23 12:20,4147.924,4149.448,4146.907999999999,4146.907999999999,898,3731
2018.08.23 12:21,4146.907999999999,4148.432,4146.4,4147.416,471,1644
2018.08.23 12:22,4147.416,4147.416,4144.876,4144.876,838,3054
2018.08.23 12:23,4145.384,4145.384,4143.352,4143.352,625,2363
